ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S211	S212	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S226	S227	S228	S229	S230	S231	S232	S233	S234	S235	S236	S237
CpG1	0.257156	0.276115	0.226727	0.209648	0.424285	0.307873	0.185241	0.18651	0.363507	0.364617	0.344695	0.293059	0.40267	0.316349	0.316378	0.263697	0.204203	0.304883	0.255271	0.352834	0.215567	0.314306	0.234665	0.32411	0.339817	0.344445	0.332074	0.253431	0.34905	0.22757	0.175448	0.315478	0.397556	0.33869	0.215877	0.337821	0.38523	0.298532	0.391843	0.114918	0.388505	0.188535	0.286941	0.200705	0.260773	0.325546	0.330442	0.240777	0.418277	0.308179	0.199257	0.248421	0.170755	0.250419	0.33041	0.410185	0.42252	0.206485	0.221426	0.21538	0.286492	0.365485	0.344088	0.363634	0.281022	0.376607	0.405063	0.340102	0.36722	0.209345	0.259392	0.46498	0.223216	0.311417	0.237582	0.202496	0.22934	0.271601	0.209971	0.292545	0.359223	0.336584	0.269843	0.242053	0.325313	0.292831	0.213729	0.266358	0.342734	0.318752	0.363989	0.410478	0.328152	0.350343	0.219872	0.365738	0.431101	0.385974	0.236701	0.268128	0.222743	0.444012	0.279159	0.290061	0.342791	0.26401	0.365752	0.227867	0.360796	0.387385	0.304438	0.346259	0.358948	0.22923	0.213425	0.247236	0.352611	0.214853	0.411753	0.359129	0.174774	0.300833	0.346762	0.321135	0.415548	0.314498	0.265988	0.316504	0.334474	0.406325	0.26592	0.187327	0.320339	0.329901	0.295541	0.318919	0.268604	0.292914	0.234801	0.344552	0.244378	0.207393	0.24472	0.274989	0.322319	0.288356	0.0884466	0.387628	0.214452	0.313385	0.181248	0.241021	0.364993	0.175713	0.260848	0.358854	0.404105	0.360089	0.29693	0.411158	0.306392	0.335359	0.215528	0.254851	0.292338	0.270101	0.331903	0.276466	0.398714	0.216747	0.241742	0.315549	0.304815	0.209834	0.288385	0.264279	0.333789	0.319992	0.211292	0.346994	0.303041	0.211703	0.3615	0.390754	0.272174	0.20975	0.281577	0.228058	0.312911	0.285257	0.330788	0.171741	0.359144	0.36533	0.249796	0.229735	0.319134	0.367917	0.201036	0.456107	0.206845	0.309179	0.391295	0.411225	0.342379	0.443724	0.352332	0.26864	0.242878	0.296082	0.335358	0.320369	0.222575	0.292644	0.340081	0.298368	0.367378	0.404936	0.445332	0.317904	0.369238	0.262618	0.408503	0.282674	0.527298	0.391342	0.264678	0.414389	0.366662	0.400183	0.238711	0.376144	0.371186	0.433564	0.353597	0.400308	0.31244
CpG2	0.474323	0.262313	0.374242	0.401164	0.652304	0.301403	0.119129	0.69689	0.231613	0.169185	0.418608	0.583789	0.229293	0.204472	0.230321	0.519962	0.376114	0.218061	0.577874	0.266787	0.2626	0.178258	0.423194	0.238475	0.539734	0.595552	0.299158	0.266039	0.127079	0.38827	0.139794	0.238893	0.160937	0.12821	0.149493	0.365033	0.60898	0.115705	0.110396	0.0361416	0.196388	0.417751	0.208595	0.369936	0.29918	0.463406	0.548636	0.238684	0.302762	0.212765	0.0732194	0.359801	0.249108	0.301248	0.526636	0.247611	0.35887	0.453941	0.192998	0.286825	0.298961	0.625737	0.358979	0.275121	0.159213	0.306704	0.318795	0.149937	0.139322	0.381302	0.146716	0.343951	0.452019	0.416349	0.244797	0.185005	0.3054	0.263512	0.339498	0.468232	0.473609	0.169666	0.366957	0.176593	0.280402	0.185684	0.404446	0.413209	0.257486	0.494515	0.293024	0.384959	0.267957	0.222579	0.209919	0.263803	0.258525	0.655083	0.179015	0.44398	0.638356	0.341011	0.607173	0.717804	0.120247	0.360673	0.29073	0.200233	0.402691	0.373315	0.279014	0.278847	0.434614	0.123754	0.269325	0.315867	0.421868	0.434511	0.172722	0.516171	0.228148	0.339868	0.222918	0.123087	0.31526	0.448436	0.437947	0.104656	0.244689	0.397776	0.204309	0.360821	0.523727	0.376175	0.365711	0.35099	0.507352	0.286809	0.338553	0.295483	0.470159	0.141586	0.452715	0.243436	0.514598	0.38424	0.140501	0.209445	0.0747164	0.189991	0.177874	0.285944	0.354682	0.199047	0.195879	0.323873	0.357511	0.0908144	0.171924	0.221729	0.117844	0.101967	0.409489	0.305957	0.276947	0.227689	0.132674	0.212551	0.701354	0.265298	0.251466	0.498557	0.187312	0.329041	0.125995	0.293197	0.289242	0.413445	0.380983	0.431952	0.417016	0.33437	0.183123	0.35031	0.275861	0.323665	0.181795	0.274002	0.405985	0.20265	0.274145	0.14323	0.343488	0.377463	0.0722458	0.2239	0.172041	0.283458	0.510486	0.548024	0.19422	0.321998	0.372346	0.614442	0.418358	0.199287	0.58918	0.317399	0.335553	0.528344	0.245236	0.174733	0.333143	0.097541	0.244296	0.256155	0.294504	0.111732	0.369303	0.23818	0.407947	0.208021	0.838139	0.441533	0.270613	0.238295	0.344465	0.30596	0.149194	0.662277	0.101096	0.158924	0.129535	0.34885	0.185865	0.124425	0.175963
CpG3	0.635235	0.769377	0.657936	0.639285	0.66969	0.7102	0.594304	0.762569	0.585565	0.592336	0.703449	0.630409	0.638166	0.790979	0.729365	0.538948	0.79032	0.822325	0.73878	0.79894	0.618924	0.813266	0.646284	0.848523	0.825236	0.83478	0.561317	0.738241	0.721596	0.836929	0.674314	0.755493	0.689605	0.677561	0.74034	0.574361	0.60913	0.607911	0.639334	0.615978	0.602465	0.738376	0.694814	0.473777	0.517431	0.770384	0.662666	0.664046	0.758149	0.550246	0.597079	0.617783	0.823814	0.741481	0.738926	0.480826	0.489815	0.660847	0.499497	0.58965	0.662677	0.727903	0.653926	0.512683	0.676781	0.815175	0.64644	0.630401	0.638521	0.823785	0.636691	0.768935	0.601585	0.586479	0.792045	0.672993	0.653561	0.48794	0.832767	0.554035	0.59163	0.549337	0.558535	0.690659	0.638674	0.456297	0.758329	0.803974	0.612307	0.674984	0.560675	0.699669	0.789194	0.675875	0.674024	0.611737	0.767821	0.679789	0.664244	0.69275	0.782107	0.598839	0.66734	0.715795	0.720979	0.806992	0.804635	0.736909	0.8133	0.60903	0.723886	0.723068	0.557474	0.808345	0.687945	0.579133	0.770034	0.719945	0.502201	0.463175	0.519936	0.801864	0.52512	0.447713	0.700117	0.659112	0.670361	0.559972	0.779055	0.823626	0.63608	0.834808	0.804944	0.487193	0.598209	0.494421	0.75959	0.697161	0.584525	0.646018	0.79329	0.72742	0.694101	0.672765	0.687142	0.617092	0.766623	0.627343	0.611097	0.832493	0.651375	0.599067	0.544668	0.852255	0.474607	0.633698	0.749401	0.489615	0.614519	0.654763	0.741277	0.710056	0.797838	0.741645	0.625984	0.800279	0.749737	0.668312	0.82251	0.709165	0.677947	0.623446	0.59163	0.763613	0.705703	0.57459	0.616011	0.817699	0.776923	0.580362	0.747165	0.679119	0.587216	0.680343	0.766852	0.591268	0.765684	0.62985	0.617307	0.691299	0.651019	0.810737	0.731324	0.621559	0.690035	0.610169	0.691947	0.804913	0.641414	0.650864	0.6488	0.590318	0.621839	0.672502	0.608864	0.513924	0.801116	0.690833	0.767281	0.664411	0.670247	0.626488	0.810975	0.831152	0.653422	0.748245	0.613625	0.456095	0.485909	0.830938	0.533844	0.656912	0.490241	0.602325	0.725408	0.800911	0.768285	0.661137	0.575327	0.662347	0.830296	0.730977	0.595764	0.643656	0.71318	0.803604	0.805642
CpG4	0.454893	0.439979	0.251926	0.292658	0.365113	0.217411	0.290185	0.368338	0.181222	0.180573	0.289623	0.375075	0.484479	0.198593	0.315543	0.494255	0.29178	0.302966	0.404308	0.471698	0.391145	0.341909	0.484438	0.225287	0.303098	0.226725	0.320266	0.322616	0.171516	0.45296	0.309325	0.114519	0.246162	0.437618	0.206231	0.121508	0.383699	0.298215	0.127107	0.417728	0.338816	0.422582	0.431467	0.170375	0.330904	0.575842	0.132134	0.146746	0.209595	0.522182	0.353914	0.200138	0.373972	0.215104	0.117395	0.275032	0.186975	0.427965	0.528013	0.400838	0.147092	0.222925	0.254738	0.224844	0.310063	0.571357	0.411633	0.123927	0.267343	0.168697	0.2576	0.515321	0.557051	0.317415	0.374109	0.480059	0.321524	0.338116	0.443999	0.399715	0.23826	0.368865	0.410316	0.103316	0.206296	0.356111	0.389577	0.129002	0.390415	0.520021	0.38952	0.306107	0.297563	0.466518	0.0934953	0.322814	0.547147	0.409642	0.426985	0.466859	0.426469	0.182374	0.503892	0.364457	0.259127	0.482469	0.581991	0.123275	0.217255	0.179251	0.352798	0.173663	0.307161	0.216264	0.363274	0.274786	0.307445	0.411317	0.278558	0.357886	0.0445027	0.138301	0.0759404	0.195943	0.413205	0.297043	0.566465	0.530863	0.406673	0.237792	0.201722	0.308342	0.344329	0.310052	0.302198	0.34534	0.256408	0.416487	0.559263	0.391367	0.122555	0.515434	0.402604	0.294135	0.275651	0.270777	0.231688	0.386439	0.0956355	0.604498	0.167622	0.549763	0.469837	0.241585	0.395925	0.22408	0.26128	0.281331	0.138581	0.467752	0.117221	0.394177	0.333504	0.409723	0.146145	0.323594	0.199154	0.488265	0.442382	0.508871	0.367321	0.218959	0.155419	0.317449	0.358126	0.528792	0.381207	0.296888	0.276318	0.360893	0.358795	0.267019	0.362289	0.475245	0.140476	0.307109	0.231901	0.535197	0.180623	0.113915	0.389616	0.353774	0.396804	0.329404	0.331201	0.261444	0.322564	0.46144	0.496431	0.495691	0.359441	0.390155	0.125951	0.462449	0.337538	0.314597	0.353211	0.368893	0.302268	0.332648	0.350977	0.316014	0.301576	0.153086	0.0955709	0.207623	0.326461	0.456143	0.425437	0.209766	0.274778	0.405475	0.473922	0.378365	0.275362	0.362098	0.359229	0.322725	0.406527	0.344158	0.172898	0.253632	0.495703	0.406162	0.140807	0.513411	0.419684
CpG5	0.878137	0.843197	0.679204	0.890284	0.686224	0.764305	0.528365	0.842007	0.549197	0.817748	0.507788	0.597456	0.868032	0.574418	0.791751	0.831677	0.674369	0.442893	0.6878	0.841113	0.523142	0.814741	0.503237	0.470231	0.707437	0.869288	0.387727	0.502237	0.609181	0.69208	0.891808	0.394248	0.89143	0.799634	0.86124	0.738209	0.855179	0.807255	0.821335	0.778047	0.848251	0.872932	0.822961	0.475765	0.621124	0.507162	0.892261	0.877233	0.888343	0.511024	0.598946	0.900677	0.872447	0.665359	0.595279	0.774333	0.476841	0.86815	0.692996	0.827656	0.527704	0.821792	0.778638	0.7412	0.732416	0.90633	0.85248	0.870745	0.787043	0.552917	0.802719	0.754236	0.779635	0.798321	0.592688	0.662996	0.900935	0.820923	0.802053	0.86981	0.858158	0.856512	0.83988	0.867292	0.849389	0.759414	0.851072	0.81535	0.840263	0.785906	0.504642	0.6024	0.855104	0.86795	0.833096	0.517472	0.458578	0.587799	0.783005	0.824848	0.903866	0.375939	0.546801	0.612215	0.539479	0.526769	0.50882	0.772219	0.916909	0.914034	0.802113	0.827668	0.751508	0.640439	0.866244	0.527146	0.523038	0.369456	0.537532	0.515894	0.720023	0.5761	0.817377	0.83179	0.920092	0.646322	0.502163	0.838262	0.539712	0.84737	0.871362	0.870018	0.755727	0.927712	0.351063	0.696954	0.881323	0.788264	0.822675	0.542568	0.877044	0.828513	0.720512	0.853248	0.804708	0.575664	0.674443	0.838243	0.509865	0.529326	0.522583	0.7601	0.820736	0.924064	0.553305	0.857277	0.497686	0.830079	0.589152	0.899977	0.86536	0.745985	0.854581	0.78163	0.840808	0.877826	0.489168	0.836884	0.853087	0.869597	0.832498	0.655515	0.537958	0.889259	0.855125	0.628917	0.820016	0.884705	0.88318	0.847467	0.853797	0.883944	0.508824	0.874103	0.758637	0.848197	0.794499	0.84836	0.859995	0.855658	0.858291	0.89842	0.746964	0.624415	0.904129	0.852701	0.855287	0.720481	0.862384	0.617797	0.888661	0.856141	0.871711	0.521385	0.518896	0.871218	0.891627	0.561823	0.551858	0.647276	0.759811	0.850101	0.523299	0.873379	0.867595	0.907445	0.612235	0.690948	0.887323	0.524122	0.88699	0.904004	0.905691	0.795385	0.669243	0.834864	0.851814	0.682387	0.508824	0.483661	0.518631	0.907236	0.812029	0.858082	0.861306	0.817777	0.56611
CpG6	0.474479	0.459158	0.418569	0.393543	0.550722	0.481458	0.487702	0.570606	0.573244	0.410148	0.484034	0.497916	0.45727	0.530507	0.458815	0.544142	0.55146	0.435777	0.383537	0.347881	0.440301	0.639402	0.601814	0.487177	0.373372	0.596884	0.470439	0.413045	0.370526	0.481306	0.264223	0.496428	0.378859	0.571072	0.349514	0.384494	0.476733	0.494543	0.423672	0.394447	0.49996	0.426818	0.518873	0.461144	0.414635	0.521501	0.35845	0.31489	0.661395	0.493733	0.518799	0.436804	0.306148	0.450659	0.418724	0.460078	0.504424	0.490461	0.485734	0.538861	0.519484	0.473318	0.48655	0.50227	0.435465	0.693235	0.442363	0.618964	0.481208	0.430055	0.5284	0.583572	0.350665	0.319666	0.401109	0.64837	0.358046	0.473564	0.584762	0.510174	0.559794	0.413286	0.4021	0.412089	0.616823	0.371207	0.480064	0.41869	0.401419	0.569373	0.525847	0.43578	0.370793	0.481458	0.316069	0.560374	0.388473	0.369855	0.407015	0.453961	0.532365	0.479518	0.420774	0.35742	0.606062	0.532152	0.671367	0.396534	0.51833	0.398662	0.434298	0.505041	0.364755	0.484236	0.388661	0.540628	0.370771	0.485419	0.545864	0.541769	0.593576	0.5687	0.450452	0.485141	0.480667	0.722599	0.416023	0.406316	0.436831	0.588955	0.561432	0.539093	0.525052	0.505507	0.35773	0.605324	0.388909	0.40703	0.41268	0.507127	0.616101	0.369897	0.635423	0.391311	0.523569	0.604059	0.48289	0.389147	0.387145	0.571995	0.35978	0.418095	0.443506	0.384367	0.425104	0.509784	0.482764	0.457822	0.494928	0.413478	0.40477	0.38072	0.564763	0.571032	0.377013	0.434994	0.429581	0.596667	0.396248	0.45219	0.472894	0.488612	0.425947	0.413395	0.462316	0.504606	0.541469	0.427206	0.400535	0.415782	0.700357	0.6483	0.487914	0.558364	0.464213	0.592977	0.466047	0.500631	0.422639	0.387705	0.356704	0.530868	0.414469	0.471654	0.50494	0.433099	0.502189	0.410219	0.329823	0.551717	0.362006	0.369042	0.614821	0.430651	0.432009	0.472367	0.508288	0.382627	0.612674	0.367719	0.567066	0.396517	0.425716	0.378703	0.424115	0.491745	0.534784	0.589472	0.412341	0.458713	0.484176	0.429028	0.694426	0.518559	0.450684	0.605558	0.472258	0.555324	0.443798	0.54094	0.461992	0.623959	0.573112	0.440162	0.383229	0.417734	0.479397
CpG7	0.473993	0.643567	0.526269	0.48634	0.569773	0.485526	0.51009	0.7352	0.550552	0.535005	0.722244	0.486118	0.521217	0.536696	0.585572	0.498435	0.491053	0.507496	0.632838	0.491709	0.541196	0.683326	0.61643	0.420249	0.622443	0.621913	0.634402	0.516227	0.673985	0.519086	0.580986	0.588181	0.487713	0.552349	0.448474	0.448767	0.59536	0.528486	0.586603	0.627763	0.494906	0.634432	0.531375	0.529072	0.533279	0.677014	0.458114	0.471189	0.545179	0.589345	0.654634	0.514082	0.50491	0.548951	0.608408	0.54673	0.526697	0.568268	0.557569	0.560043	0.489704	0.546062	0.692392	0.627803	0.549124	0.595407	0.65305	0.565228	0.540031	0.484879	0.505731	0.580326	0.689933	0.496184	0.676443	0.565998	0.494407	0.495658	0.610625	0.665583	0.61227	0.60524	0.608093	0.552253	0.585481	0.633132	0.557313	0.511916	0.574073	0.687108	0.546658	0.536264	0.446669	0.514519	0.438899	0.533656	0.63207	0.552731	0.514861	0.663593	0.549277	0.642797	0.68002	0.515221	0.563959	0.627306	0.668816	0.520216	0.630329	0.65634	0.628807	0.513742	0.625425	0.530477	0.51836	0.497335	0.520251	0.536644	0.586068	0.719627	0.537603	0.540213	0.461738	0.464666	0.585123	0.482707	0.543549	0.615815	0.590086	0.525165	0.483006	0.627473	0.464465	0.508306	0.635029	0.481278	0.571213	0.539412	0.646295	0.685263	0.614649	0.461108	0.637677	0.570869	0.65027	0.512343	0.567839	0.630796	0.647785	0.459721	0.485714	0.564034	0.503976	0.60212	0.587683	0.539531	0.556883	0.604317	0.59555	0.577702	0.426972	0.556498	0.632189	0.57091	0.692206	0.579363	0.408361	0.539352	0.850517	0.578352	0.641177	0.532622	0.533076	0.689955	0.525675	0.492949	0.628877	0.572574	0.543974	0.637049	0.594738	0.610938	0.568908	0.681936	0.528815	0.560391	0.436038	0.639996	0.494661	0.418606	0.554031	0.593216	0.546111	0.53639	0.42598	0.53617	0.520184	0.667423	0.67412	0.607001	0.556141	0.656832	0.515884	0.636148	0.505409	0.536446	0.48417	0.752793	0.622166	0.565494	0.485339	0.544664	0.606776	0.461601	0.474181	0.649222	0.608835	0.551836	0.61576	0.484118	0.55555	0.605442	0.697144	0.544737	0.67058	0.54745	0.528391	0.560721	0.610686	0.625462	0.510702	0.628265	0.679834	0.499357	0.5524	0.758316	0.551404
CpG8	0.693932	0.672484	0.705756	0.677344	0.658373	0.772379	0.607846	0.604267	0.620793	0.686324	0.52779	0.68889	0.506383	0.541163	0.719364	0.702591	0.577814	0.649629	0.731599	0.567127	0.717342	0.5966	0.597662	0.616469	0.600134	0.663006	0.684621	0.651722	0.491262	0.670493	0.725825	0.699361	0.724428	0.609651	0.688599	0.735807	0.511417	0.751855	0.755444	0.550146	0.710491	0.655512	0.554162	0.497317	0.666903	0.592259	0.706668	0.681629	0.670357	0.692818	0.611009	0.510848	0.601356	0.550132	0.507929	0.712951	0.618355	0.721914	0.667068	0.598526	0.674605	0.696993	0.476943	0.577015	0.627166	0.52261	0.581229	0.612344	0.550328	0.605477	0.731697	0.57882	0.620416	0.748425	0.508948	0.794721	0.651408	0.773581	0.54971	0.688124	0.53813	0.634358	0.532858	0.658845	0.579639	0.798003	0.692874	0.669949	0.719473	0.589822	0.651907	0.717706	0.693407	0.693085	0.56391	0.698252	0.620225	0.775946	0.817242	0.675694	0.601164	0.666616	0.647457	0.724942	0.562454	0.573494	0.511049	0.570625	0.564666	0.598916	0.58645	0.779254	0.744604	0.740843	0.596882	0.588923	0.621064	0.64423	0.629423	0.548167	0.680387	0.756324	0.630302	0.61649	0.683256	0.741212	0.65873	0.68174	0.472611	0.470328	0.72227	0.726078	0.696841	0.742413	0.595852	0.54642	0.641923	0.688323	0.723362	0.616034	0.681384	0.648949	0.611165	0.657757	0.707714	0.684895	0.584265	0.614026	0.616647	0.590824	0.557979	0.703223	0.592774	0.549243	0.604885	0.680969	0.69649	0.679632	0.715203	0.651588	0.67043	0.675915	0.714501	0.585437	0.656195	0.625115	0.61304	0.696647	0.50524	0.620094	0.674926	0.528267	0.753473	0.721336	0.620685	0.69518	0.676634	0.736531	0.684279	0.723162	0.787694	0.574067	0.533538	0.698859	0.600562	0.67953	0.681541	0.683375	0.719235	0.816167	0.824196	0.760073	0.615543	0.702241	0.617999	0.649994	0.708966	0.577758	0.663949	0.662781	0.722015	0.569457	0.545996	0.761943	0.583937	0.607704	0.668252	0.627292	0.566914	0.578376	0.676024	0.614663	0.63509	0.768125	0.586646	0.647369	0.591313	0.492066	0.698335	0.815829	0.636376	0.571642	0.721536	0.782954	0.602889	0.718255	0.616093	0.784243	0.714983	0.504968	0.61175	0.524421	0.702434	0.677285	0.616553	0.593524	0.558301
CpG9	0.56327	0.602105	0.593253	0.656317	0.432252	0.522953	0.493212	0.39399	0.460533	0.572116	0.413789	0.521412	0.502537	0.430139	0.415168	0.544832	0.5563	0.543028	0.49099	0.503572	0.447617	0.432263	0.453949	0.485294	0.507002	0.540084	0.538293	0.253809	0.498877	0.52626	0.677827	0.48223	0.472149	0.502914	0.525094	0.581545	0.419905	0.51434	0.515152	0.593935	0.464981	0.599771	0.532094	0.548971	0.510844	0.554833	0.484944	0.469995	0.512148	0.444282	0.576689	0.474722	0.614968	0.460734	0.457987	0.470167	0.46748	0.538398	0.51149	0.407934	0.449226	0.481736	0.503263	0.459755	0.367235	0.533298	0.50961	0.431163	0.47393	0.450429	0.590153	0.44796	0.542254	0.47992	0.492514	0.546435	0.655365	0.457945	0.548489	0.448477	0.488716	0.502682	0.542642	0.616307	0.533812	0.593978	0.593579	0.556753	0.525286	0.435703	0.434536	0.436712	0.521764	0.502444	0.455312	0.408236	0.643042	0.589548	0.582955	0.556239	0.614309	0.495124	0.399783	0.563594	0.482828	0.484349	0.4513	0.56511	0.551335	0.468621	0.495896	0.497506	0.543898	0.644954	0.471286	0.572845	0.365327	0.535548	0.498785	0.470203	0.557255	0.602199	0.577231	0.671592	0.420268	0.486675	0.64164	0.500246	0.506606	0.388574	0.584977	0.546663	0.545231	0.578054	0.535437	0.583856	0.456345	0.504362	0.512728	0.407137	0.548208	0.662371	0.443301	0.499089	0.419874	0.549117	0.610634	0.467659	0.528102	0.408651	0.555056	0.604401	0.41212	0.553109	0.543404	0.559601	0.509267	0.569152	0.462701	0.455363	0.546392	0.473825	0.506892	0.548981	0.646898	0.568003	0.506627	0.651119	0.38847	0.535015	0.557178	0.593084	0.54407	0.604106	0.526917	0.599373	0.508414	0.486971	0.596213	0.482056	0.655821	0.477371	0.495963	0.574948	0.483784	0.625214	0.476529	0.609588	0.487098	0.566247	0.504492	0.576795	0.400024	0.548852	0.61555	0.560697	0.529573	0.447908	0.501602	0.545017	0.559703	0.469538	0.356786	0.526057	0.537903	0.512847	0.493067	0.478923	0.526995	0.390774	0.420816	0.476265	0.539225	0.51344	0.460144	0.535644	0.458882	0.52987	0.509223	0.598825	0.471072	0.495856	0.467004	0.46648	0.368396	0.581459	0.486758	0.522456	0.499439	0.62424	0.652837	0.444813	0.352058	0.394387	0.476585	0.502924	0.458861
CpG10	0.393085	0.312918	0.385607	0.229051	0.461809	0.277441	0.42165	0.521176	0.372128	0.391585	0.530223	0.415113	0.423953	0.400857	0.483702	0.494896	0.412618	0.352578	0.36326	0.354026	0.396446	0.451169	0.438409	0.382904	0.403709	0.414991	0.335317	0.35154	0.416893	0.41497	0.24867	0.322239	0.33869	0.306585	0.34625	0.328228	0.592207	0.393762	0.2701	0.315265	0.439465	0.382377	0.313705	0.585291	0.392248	0.273583	0.464075	0.252256	0.338141	0.360937	0.286161	0.41431	0.32731	0.427067	0.409276	0.361837	0.476436	0.352546	0.44284	0.577309	0.312808	0.432588	0.333515	0.372426	0.35173	0.41412	0.337693	0.484438	0.354005	0.33544	0.297251	0.38693	0.336664	0.303485	0.465585	0.19342	0.393615	0.271148	0.425015	0.36316	0.413159	0.445305	0.396129	0.463254	0.503313	0.348697	0.416533	0.453876	0.329407	0.398424	0.451653	0.277195	0.247253	0.35656	0.365655	0.340013	0.348542	0.420495	0.427845	0.408073	0.400696	0.345577	0.461609	0.315097	0.35311	0.434829	0.445633	0.406081	0.357563	0.348944	0.461329	0.377684	0.364965	0.231263	0.303775	0.259324	0.285145	0.417394	0.416027	0.392704	0.393514	0.399802	0.346159	0.473033	0.435971	0.357442	0.405074	0.368229	0.41208	0.374265	0.298231	0.484611	0.380994	0.282811	0.316019	0.442618	0.428612	0.385398	0.380363	0.443665	0.307968	0.404211	0.365895	0.372327	0.345239	0.361585	0.288632	0.355644	0.291734	0.48407	0.383024	0.308979	0.431345	0.425619	0.450541	0.400085	0.429057	0.459156	0.30926	0.45842	0.415027	0.343912	0.329375	0.325854	0.325793	0.386239	0.322139	0.326894	0.488474	0.293841	0.388383	0.415574	0.322852	0.295392	0.414189	0.342386	0.2743	0.388204	0.342832	0.400528	0.368918	0.478894	0.432768	0.320669	0.390783	0.159797	0.29449	0.279096	0.251107	0.410598	0.261241	0.238146	0.312484	0.247083	0.344798	0.282731	0.401398	0.473407	0.274291	0.427218	0.383987	0.357402	0.43647	0.322222	0.445535	0.374454	0.40298	0.30801	0.331559	0.553555	0.41435	0.311159	0.35149	0.412759	0.379545	0.336029	0.454268	0.379795	0.332826	0.274059	0.433229	0.383634	0.420037	0.388323	0.316282	0.336977	0.321357	0.385308	0.45902	0.572394	0.326003	0.332756	0.35916	0.374391	0.321666	0.308089	0.507642
