CpGID	Est	SD	neglogpv
CpG1	2e-06	0.000938	0.000864
CpG2	0.001036	0.001842	0.240926
CpG3	0.001477	0.00126	0.615482
CpG4	-0.001009	0.001468	0.307549
CpG5	7.6e-05	0.00192	0.013889
CpG6	-0.000887	0.001094	0.378792
CpG7	-0.000341	0.000919	0.148163
CpG8	-0.000691	0.000979	0.317903
CpG9	-0.001142	0.000887	0.699999
CpG10	0.000887	0.000892	0.492752
CpG11	0.001115	0.000972	0.598403
CpG12	-0.000688	0.000843	0.381522
CpG13	0.001509	0.001176	0.697889
CpG14	-0.000586	0.001475	0.160372
CpG15	0.000368	0.001326	0.106854
CpG16	0.00017	0.001358	0.045643
CpG17	0.000172	0.001243	0.050646
CpG18	0.000593	0.001008	0.254313
CpG19	0.000378	0.000856	0.181013
CpG20	-0.000873	0.000966	0.435371
CpG21	0.001897	0.001006	1.218227
CpG22	0.000375	0.002055	0.067755
CpG23	0.000612	0.000927	0.292515
CpG24	-0.001187	0.000936	0.6864
CpG25	-0.000721	0.000974	0.337627
CpG26	0.000445	0.000895	0.207733
CpG27	-0.000744	0.001536	0.20164
CpG28	0.000572	0.000816	0.315476
CpG29	-0.000662	0.00113	0.253185
CpG30	-0.000487	0.000895	0.231737
CpG31	-0.000437	0.000729	0.259764
CpG32	0.003552	0.001768	1.340164
CpG33	0.000734	0.001006	0.331444
CpG34	0.003809	0.002256	1.033262
CpG35	0.000317	0.001015	0.122028
CpG36	0.000505	0.00094	0.227722
CpG37	0.00118	0.001236	0.46746
CpG38	0.000201	0.000817	0.093524
CpG39	-0.000472	0.001232	0.15362
CpG40	0.00059	0.00206	0.110834
CpG41	0.002158	0.001476	0.838504
CpG42	-0.000332	0.000682	0.202457
CpG43	0.001492	0.001753	0.402875
CpG44	0.000522	0.000897	0.250535
CpG45	-0.001458	0.000949	0.900396
CpG46	-0.000733	0.001524	0.199772
CpG47	0.001679	0.001169	0.817031
CpG48	0.00032	0.001348	0.090224
CpG49	-0.000184	0.001045	0.065158
CpG50	0.001299	0.000872	0.861186
CpG51	-0.000293	0.000849	0.13658
CpG52	0.001278	0.001277	0.497706
CpG53	0.000215	0.001073	0.074915
CpG54	-0.0013	0.000802	0.973359
CpG55	0.000492	0.000795	0.27021
CpG56	0.000349	0.000849	0.166746
CpG57	-0.001903	0.002014	0.461318
CpG58	0.000378	0.000987	0.153545
CpG59	0.000661	0.000813	0.379492
CpG60	-0.000116	0.000717	0.059923
CpG61	0.000839	0.001024	0.383884
CpG62	0.00142	0.001331	0.542191
CpG63	-0.000236	0.000895	0.101083
CpG64	-1.5e-05	0.002179	0.002464
CpG65	0.000707	0.001049	0.300246
CpG66	0.001602	0.000858	1.199195
CpG67	-0.000623	0.001104	0.24188
CpG68	-0.000147	0.001146	0.046782
CpG69	-0.000111	0.000914	0.044217
CpG70	0.00027	0.001121	0.091773
CpG71	0.002334	0.001451	0.962912
CpG72	-0.000646	0.001191	0.230713
CpG73	0.000133	0.000823	0.059438
CpG74	0.000662	0.000787	0.396193
CpG75	-0.001969	0.001161	1.040598
CpG76	-0.000543	0.001544	0.139404
CpG77	-0.000518	0.001092	0.196891
CpG78	0.002726	0.002319	0.618036
CpG79	0.001204	0.000788	0.893336
CpG80	-0.000868	0.000833	0.524931
CpG81	0.001139	0.001154	0.488863
CpG82	0.000683	0.000928	0.335233
CpG83	0.001434	0.001026	0.786542
CpG84	0.000491	0.001172	0.170117
CpG85	-0.0011	0.001191	0.448247
CpG86	0.002603	0.001739	0.866852
CpG87	-0.000487	0.000978	0.208516
CpG88	-0.000474	0.00094	0.21168
CpG89	0.001033	0.001971	0.221166
CpG90	0.000675	0.001152	0.252803
CpG91	-0.000967	0.001388	0.312777
CpG92	0.001068	0.000965	0.569297
CpG93	-0.000351	0.00101	0.137643
CpG94	0.001359	0.001842	0.336018
CpG95	0.000154	0.000915	0.062064
CpG96	0.000869	0.000919	0.461209
CpG97	3.7e-05	0.000943	0.013795
CpG98	2e-05	0.000854	0.007977
CpG99	0.002821	0.001015	2.229792
CpG100	-0.001444	0.002272	0.279188
