cpg	snp	logpv	FDR	R2
CpG25	SNP991	4.826726	0.894873	0.077799
CpG70	SNP232	4.675291	0.894873	0.075148
CpG83	SNP77	4.296592	0.894873	0.068506
CpG66	SNP44	4.145337	0.894873	0.065848
CpG59	SNP592	4.143512	0.894873	0.065816
CpG30	SNP847	4.123089	0.894873	0.065457
CpG25	SNP237	4.117723	0.894873	0.065363
CpG32	SNP276	4.102298	0.894873	0.065092
CpG93	SNP601	4.075127	0.894873	0.064614
CpG12	SNP522	3.873434	0.894873	0.061066
CpG61	SNP806	3.845418	0.894873	0.060573
CpG70	SNP445	3.815337	0.894873	0.060043
CpG40	SNP594	3.798142	0.894873	0.059741
CpG50	SNP913	3.782542	0.894873	0.059466
CpG50	SNP687	3.778946	0.894873	0.059403
CpG33	SNP825	3.710972	0.894873	0.058206
CpG78	SNP240	3.676919	0.894873	0.057607
CpG35	SNP618	3.668415	0.894873	0.057457
CpG50	SNP45	3.636346	0.894873	0.056892
CpG39	SNP186	3.618137	0.894873	0.056572
CpG35	SNP702	3.56642	0.894873	0.055661
CpG70	SNP910	3.536595	0.894873	0.055136
CpG18	SNP72	3.49366	0.894873	0.05438
CpG27	SNP187	3.487006	0.894873	0.054263
CpG23	SNP166	3.486407	0.894873	0.054252
CpG75	SNP888	3.481871	0.894873	0.054173
CpG9	SNP676	3.474418	0.894873	0.054041
CpG61	SNP248	3.474254	0.894873	0.054039
CpG65	SNP28	3.46485	0.894873	0.053873
CpG65	SNP642	3.46041	0.894873	0.053795
CpG69	SNP169	3.459236	0.894873	0.053774
CpG32	SNP277	3.457404	0.894873	0.053742
CpG23	SNP971	3.451007	0.894873	0.053629
CpG18	SNP362	3.425084	0.894873	0.053173
CpG92	SNP498	3.410588	0.894873	0.052918
CpG52	SNP592	3.406778	0.894873	0.052851
CpG77	SNP678	3.402888	0.894873	0.052782
CpG70	SNP230	3.401941	0.894873	0.052765
CpG66	SNP332	3.395377	0.894873	0.05265
CpG31	SNP353	3.381737	0.894873	0.05241
CpG44	SNP676	3.37419	0.894873	0.052277
CpG43	SNP33	3.372596	0.894873	0.052249
CpG54	SNP468	3.366198	0.894873	0.052136
CpG71	SNP690	3.354302	0.894873	0.051927
CpG79	SNP470	3.325216	0.894873	0.051415
